Date,Price,Open,High,Low,Vol.,Change %
11/8/2016,2135.50,"2,129.00","2,143.25","2,119.00",1.75M,0.31%
11/9/2016,2160.25,"2,138.00","2,166.75","2,028.50",5.28M,1.16%
11/10/2016,2167.25,"2,159.50","2,180.50","2,147.75",3.13M,0.32%
11/11/2016,2161.50,"2,165.00","2,170.50","2,148.50",1.88M,-0.27%
11/14/2016,2160.50,"2,164.50","2,174.50","2,152.25",1.82M,-0.05%
11/15/2016,2179.25,"2,161.00","2,179.75","2,158.50",1.44M,0.87%
11/16/2016,2172.75,"2,179.00","2,185.00","2,168.75",1.33M,-0.30%
11/17/2016,2184.25,"2,172.50","2,185.50","2,171.75",1.35M,0.53%
11/18/2016,2180.75,"2,184.00","2,187.50","2,176.50",1.28M,-0.16%
11/21/2016,2193.00,"2,179.50","2,196.50","2,178.50",1.23M,0.56%
11/22/2016,2200.25,"2,193.25","2,203.00","2,191.75",1.26M,0.33%
11/23/2016,2200.75,"2,201.25","2,203.50","2,192.00",1.10M,0.02%
11/24/2016,2205.50,"2,199.25","2,207.00","2,197.75",-,0.22%
11/25/2016,2211.25,"2,201.00","2,211.75","2,197.50",561.56K,0.26%
11/28/2016,2200.75,"2,208.00","2,209.50","2,198.25",1.37M,-0.47%
11/29/2016,2203.75,"2,200.25","2,209.50","2,196.25",1.41M,0.14%
11/30/2016,2198.75,"2,203.25","2,213.75","2,197.25",1.96M,-0.23%
12/1/2016,2192.00,"2,199.50","2,203.00","2,186.00",2.15M,-0.31%
12/2/2016,2192.00,"2,190.50","2,197.25","2,184.25",1.68M,0.00%
12/5/2016,2204.25,"2,184.00","2,208.75","2,179.00",1.66M,0.56%
12/6/2016,2210.00,"2,205.00","2,212.00","2,200.25",1.48M,0.26%
12/7/2016,2236.75,"2,211.25","2,241.25","2,206.75",2.33M,1.21%
12/8/2016,2247.75,"2,236.50","2,251.50","2,232.50",2.11M,0.49%
12/9/2016,2260.00,"2,246.75","2,261.25","2,245.00",1.09M,0.54%
12/12/2016,2256.00,"2,260.75","2,270.25","2,252.25",1.02M,-0.18%
12/13/2016,2273.25,"2,256.00","2,278.25","2,253.25",1.05M,0.76%
12/14/2016,2257.00,"2,273.25","2,277.00","2,248.00",767.13K,-0.71%
12/15/2016,2263.50,"2,256.00","2,272.75","2,252.25",477.53K,0.29%
12/16/2016,2268.63,"2,264.25","2,269.50","2,261.75",49.85K,0.23%
12/19/2016,2260.00,"2,256.00","2,263.75","2,254.00",928.69K,-0.38%
12/20/2016,2266.50,"2,260.25","2,269.50","2,260.00",814.01K,0.29%
12/21/2016,2260.50,"2,267.25","2,268.00","2,258.00",667.71K,-0.26%
12/22/2016,2258.75,"2,258.25","2,261.00","2,251.50",847.63K,-0.08%
12/23/2016,2260.00,"2,257.50","2,261.00","2,254.25",396.54K,0.06%
12/26/2016,2259.00,"2,259.25","2,260.25","2,258.50",-,-0.04%
12/27/2016,2261.00,"2,258.75","2,269.50","2,257.75",498.74K,0.09%
12/28/2016,2245.25,"2,261.25","2,267.50","2,243.50",1.00M,-0.70%
12/29/2016,2245.00,"2,245.50","2,250.00","2,239.50",913.22K,-0.01%
12/30/2016,2236.25,"2,246.25","2,252.75","2,228.00",1.28M,-0.39%
1/2/2017,2243.25,"2,241.38","2,244.88","2,241.38",-,0.31%
1/3/2017,2252.50,"2,240.75","2,259.50","2,239.50",1.81M,0.41%
1/4/2017,2264.25,"2,252.75","2,267.25","2,251.00",1.40M,0.52%
1/5/2017,2264.25,"2,264.50","2,266.00","2,254.00",1.32M,0.00%
1/6/2017,2271.50,"2,264.25","2,277.00","2,258.25",1.55M,0.32%
1/9/2017,2265.00,"2,271.25","2,275.25","2,263.50",1.03M,-0.29%
1/10/2017,2263.75,"2,264.50","2,274.00","2,259.50",1.30M,-0.06%
1/11/2017,2270.50,"2,263.75","2,271.75","2,255.00",1.73M,0.30%
1/12/2017,2263.50,"2,270.50","2,270.50","2,248.50",1.75M,-0.31%
1/13/2017,2272.50,"2,264.50","2,273.50","2,262.75",1.19M,0.40%
1/15/2017,2268.50,"2,270.25","2,270.25","2,268.00",-,-0.18%
1/16/2017,2266.25,"2,268.50","2,269.50","2,265.00",-,-0.10%
1/17/2017,2262.75,"2,270.25","2,270.50","2,257.25",1.54M,-0.15%
1/18/2017,2266.50,"2,262.00","2,268.50","2,258.25",1.11M,0.17%
1/19/2017,2261.50,"2,265.50","2,269.50","2,253.00",1.39M,-0.22%
1/20/2017,2266.00,"2,261.00","2,272.75","2,259.75",1.74M,0.20%
1/23/2017,2262.00,"2,266.00","2,267.50","2,251.75",1.47M,-0.18%
1/24/2017,2274.50,"2,260.75","2,280.50","2,259.50",1.27M,0.55%
1/25/2017,2294.00,"2,275.75","2,295.25","2,274.75",1.39M,0.86%
1/26/2017,2294.00,"2,293.75","2,299.50","2,289.50",1.17M,0.00%
1/27/2017,2289.00,"2,294.00","2,296.75","2,287.00",942.08K,-0.22%
1/30/2017,2276.00,"2,282.00","2,285.75","2,263.25",1.85M,-0.57%
1/31/2017,2274.50,"2,275.75","2,278.25","2,262.25",1.63M,-0.07%
2/1/2017,2274.50,"2,277.00","2,285.00","2,268.25",1.57M,0.00%
2/2/2017,2275.50,"2,275.00","2,279.75","2,264.50",1.41M,0.04%
2/3/2017,2291.00,"2,274.00","2,294.00","2,270.50",1.42M,0.68%
2/6/2017,2286.50,"2,293.00","2,294.25","2,283.50",1.16M,-0.20%
2/7/2017,2288.50,"2,286.25","2,295.00","2,284.00",1.20M,0.09%
2/8/2017,2290.25,"2,285.75","2,292.00","2,281.00",1.28M,0.08%
2/9/2017,2304.25,"2,290.50","2,307.75","2,287.75",1.35M,0.61%
2/10/2017,2312.75,"2,304.25","2,315.75","2,303.00",1.18M,0.37%
2/13/2017,2326.25,"2,314.25","2,329.00","2,313.25",1.21M,0.58%
2/14/2017,2337.00,"2,326.50","2,337.75","2,319.75",1.39M,0.46%
2/15/2017,2350.50,"2,335.50","2,351.50","2,331.25",1.53M,0.58%
2/16/2017,2345.50,"2,350.25","2,350.75","2,336.75",1.74M,-0.21%
2/17/2017,2348.00,"2,345.00","2,348.75","2,336.50",1.40M,0.11%
2/19/2017,2347.50,"2,346.75","2,348.00","2,346.25",-,-0.02%
2/20/2017,2353.25,"2,347.25","2,356.75","2,346.00",-,0.24%
2/21/2017,2360.00,"2,346.50","2,365.00","2,346.00",1.65M,0.29%
2/22/2017,2361.00,"2,360.00","2,363.75","2,355.25",1.30M,0.04%
2/23/2017,2362.75,"2,362.00","2,367.50","2,353.00",1.56M,0.07%
2/24/2017,2365.00,"2,361.50","2,365.75","2,349.50",1.55M,0.10%
2/27/2017,2368.25,"2,362.75","2,370.75","2,361.00",1.16M,0.14%
2/28/2017,2362.75,"2,365.75","2,368.75","2,357.50",1.61M,-0.23%
3/1/2017,2393.50,"2,364.50","2,401.00","2,363.25",2.17M,1.30%
3/2/2017,2382.00,"2,392.25","2,394.25","2,378.00",1.74M,-0.48%
3/3/2017,2381.25,"2,379.75","2,383.25","2,373.75",1.36M,-0.03%
3/6/2017,2375.50,"2,380.25","2,380.75","2,367.00",1.38M,-0.24%
3/7/2017,2366.50,"2,371.25","2,375.50","2,364.50",1.30M,-0.38%
3/8/2017,2364.00,"2,365.75","2,373.00","2,359.50",1.65M,-0.11%
3/9/2017,2366.25,"2,363.75","2,369.25","2,354.00",1.79M,0.10%
3/10/2017,2371.75,"2,367.50","2,379.75","2,362.25",1.36M,0.23%
3/13/2017,2375.00,"2,370.75","2,375.25","2,368.00",1.04M,0.14%
3/14/2017,2366.50,"2,374.00","2,374.75","2,358.00",952.37K,-0.36%
3/15/2017,2383.75,"2,367.00","2,390.50","2,366.50",621.38K,0.73%
3/16/2017,2382.75,"2,382.50","2,392.00","2,376.75",377.98K,-0.04%
3/17/2017,2385.80,"2,382.25","2,385.75","2,379.00",42.54K,0.13%
3/20/2017,2370.25,"2,373.75","2,376.00","2,365.50",1.08M,-0.65%
3/21/2017,2342.25,"2,369.00","2,378.75","2,338.00",2.57M,-1.18%
3/22/2017,2342.50,"2,340.50","2,348.75","2,332.25",1.88M,0.01%
3/23/2017,2340.00,"2,342.25","2,356.00","2,338.25",1.63M,-0.11%
3/24/2017,2344.75,"2,341.00","2,352.75","2,331.75",1.60M,0.20%
3/27/2017,2338.50,"2,337.00","2,341.50","2,317.75",1.61M,-0.27%
3/28/2017,2351.50,"2,340.50","2,360.50","2,333.50",1.62M,0.56%
3/29/2017,2357.00,"2,353.00","2,359.75","2,348.75",1.15M,0.23%
3/30/2017,2364.50,"2,357.00","2,366.75","2,353.25",1.16M,0.32%
3/31/2017,2359.25,"2,365.50","2,366.75","2,356.75",1.57M,-0.22%
4/3/2017,2356.00,"2,357.50","2,363.25","2,340.00",1.72M,-0.14%
4/4/2017,2356.50,"2,354.25","2,358.75","2,344.75",1.21M,0.02%
4/5/2017,2346.50,"2,358.75","2,375.00","2,343.75",1.94M,-0.42%
4/6/2017,2353.75,"2,345.50","2,361.25","2,338.00",1.60M,0.31%
4/7/2017,2352.25,"2,355.25","2,360.75","2,336.75",1.47M,-0.06%
4/10/2017,2352.50,"2,351.75","2,363.25","2,347.50",1.35M,0.01%
4/11/2017,2351.00,"2,354.25","2,355.75","2,333.25",1.86M,-0.06%
4/12/2017,2340.75,"2,351.75","2,356.50","2,337.50",1.53M,-0.44%
4/13/2017,2327.50,"2,338.75","2,345.00","2,324.00",1.59M,-0.57%
4/17/2017,2345.00,"2,324.00","2,346.00","2,322.75",981.68K,0.75%
4/18/2017,2337.25,"2,345.00","2,347.00","2,330.25",1.43M,-0.33%
4/19/2017,2333.75,"2,337.75","2,349.25","2,331.25",1.25M,-0.15%
4/20/2017,2352.00,"2,333.25","2,358.25","2,332.50",1.47M,0.78%
4/21/2017,2347.50,"2,352.75","2,356.00","2,340.50",1.28M,-0.19%
4/24/2017,2370.00,"2,365.75","2,376.75","2,365.25",1.55M,0.96%
4/25/2017,2385.00,"2,370.00","2,389.25","2,368.25",1.32M,0.63%
4/26/2017,2382.25,"2,383.00","2,394.75","2,381.50",1.49M,-0.12%
4/27/2017,2386.00,"2,381.50","2,388.75","2,378.75",1.12M,0.16%
4/28/2017,2380.50,"2,386.25","2,388.75","2,378.25",1.17M,-0.23%
5/1/2017,2387.00,"2,381.50","2,390.75","2,377.00",906.28K,0.27%
5/2/2017,2385.75,"2,386.25","2,388.75","2,381.75",958.98K,-0.05%
5/3/2017,2383.25,"2,384.00","2,386.00","2,375.50",1.08M,-0.10%
5/4/2017,2385.50,"2,382.00","2,390.75","2,376.00",1.23M,0.09%
5/5/2017,2397.75,"2,386.00","2,399.25","2,379.00",1.13M,0.51%
5/8/2017,2395.00,"2,402.50","2,403.75","2,389.75",957.16K,-0.11%
5/9/2017,2393.25,"2,394.50","2,400.00","2,388.75",1.11M,-0.07%
5/10/2017,2395.25,"2,391.75","2,397.00","2,387.50",998.86K,0.08%
5/11/2017,2391.00,"2,395.00","2,395.25","2,379.00",1.36M,-0.18%
5/12/2017,2388.75,"2,390.25","2,391.50","2,384.25",1.09M,-0.09%
5/15/2017,2398.50,"2,388.75","2,402.25","2,388.00",1.04M,0.41%
5/16/2017,2397.00,"2,399.75","2,404.50","2,393.75",1.07M,-0.06%
5/17/2017,2357.50,"2,396.50","2,396.75","2,354.75",2.81M,-1.65%
5/18/2017,2363.50,"2,355.00","2,375.00","2,344.50",2.46M,0.25%
5/19/2017,2381.50,"2,364.00","2,388.00","2,361.00",1.67M,0.76%
5/22/2017,2392.75,"2,381.75","2,394.25","2,378.25",1.11M,0.47%
5/23/2017,2398.00,"2,393.50","2,399.50","2,386.75",1.02M,0.22%
5/24/2017,2402.00,"2,397.00","2,404.00","2,394.75",984.36K,0.17%
5/25/2017,2413.50,"2,403.00","2,417.75","2,402.50",1.32M,0.48%
5/26/2017,2413.75,"2,413.00","2,415.75","2,408.00",879.56K,0.01%
5/28/2017,2415.50,"2,414.62","2,417.00","2,414.00",-,0.07%
5/29/2017,2414.25,"2,415.50","2,417.00","2,413.75",-,-0.05%
5/30/2017,2410.75,"2,414.00","2,417.00","2,407.75",1.04M,-0.14%
5/31/2017,2411.00,"2,410.50","2,416.75","2,402.75",1.73M,0.01%
6/1/2017,2429.50,"2,413.75","2,430.50","2,410.50",1.43M,0.77%
6/2/2017,2437.75,"2,429.25","2,439.75","2,427.00",1.74M,0.34%
6/5/2017,2434.50,"2,435.25","2,439.00","2,433.00",891.94K,-0.13%
6/6/2017,2430.75,"2,434.25","2,435.75","2,426.25",1.35M,-0.15%
6/7/2017,2432.00,"2,429.50","2,435.00","2,424.00",1.43M,0.05%
6/8/2017,2432.50,"2,431.50","2,439.00","2,427.25",1.45M,0.02%
6/9/2017,2430.50,"2,427.25","2,445.75","2,414.75",1.59M,-0.08%
6/12/2017,2428.50,"2,430.00","2,431.00","2,419.00",1.25M,-0.08%
6/13/2017,2440.00,"2,428.75","2,441.50","2,427.25",1.03M,0.47%
6/14/2017,2437.25,"2,440.25","2,445.50","2,427.75",684.54K,-0.11%
6/15/2017,2434.25,"2,436.00","2,436.00","2,418.25",470.70K,-0.12%
6/16/2017,2434.89,"2,433.75","2,439.00","2,432.50",47.30K,0.03%
6/19/2017,2447.50,"2,433.50","2,451.50","2,432.75",1.22M,0.52%
6/20/2017,2437.50,"2,447.75","2,451.00","2,434.00",1.33M,-0.41%
6/21/2017,2433.50,"2,435.75","2,440.00","2,428.00",1.37M,-0.16%
6/22/2017,2431.75,"2,431.75","2,439.00","2,428.00",1.06M,-0.07%
6/23/2017,2435.00,"2,431.25","2,438.75","2,428.25",1.20M,0.13%
6/26/2017,2436.00,"2,432.00","2,447.50","2,430.00",1.27M,0.04%
6/27/2017,2420.50,"2,435.75","2,437.25","2,416.50",1.64M,-0.64%
6/28/2017,2438.50,"2,417.00","2,442.50","2,413.75",1.56M,0.74%
6/29/2017,2420.00,"2,442.00","2,445.00","2,402.25",2.34M,-0.76%
6/30/2017,2421.00,"2,420.75","2,429.75","2,415.00",1.64M,0.04%
7/3/2017,2425.00,"2,422.00","2,436.50","2,421.50",766.23K,0.17%
7/4/2017,2423.75,"2,427.38","2,431.38","2,421.25",-,-0.05%
7/5/2017,2428.00,"2,423.75","2,432.25","2,419.25",1.29M,0.18%
7/6/2017,2408.50,"2,428.00","2,430.50","2,405.25",1.60M,-0.80%
7/7/2017,2422.50,"2,409.25","2,425.00","2,407.50",1.27M,0.58%
7/10/2017,2424.50,"2,423.00","2,430.00","2,419.25",861.22K,0.08%
7/11/2017,2424.50,"2,423.75","2,427.75","2,410.25",1.13M,0.00%
7/12/2017,2440.00,"2,425.00","2,443.75","2,422.50",1.16M,0.64%
7/13/2017,2445.50,"2,441.25","2,447.00","2,439.00",941.06K,0.23%
7/14/2017,2456.00,"2,446.50","2,461.25","2,442.00",1.09M,0.43%
7/17/2017,2458.50,"2,457.00","2,460.50","2,454.00",862.47K,0.10%
7/18/2017,2457.75,"2,459.25","2,461.00","2,448.00",1.09M,-0.03%
7/19/2017,2471.50,"2,459.75","2,472.00","2,457.75",958.46K,0.56%
7/20/2017,2471.25,"2,471.00","2,476.25","2,465.50",1.11M,-0.01%
7/21/2017,2469.50,"2,472.50","2,475.25","2,462.75",1.10M,-0.07%
7/24/2017,2468.50,"2,469.75","2,470.50","2,463.50",857.75K,-0.04%
7/25/2017,2474.00,"2,467.00","2,478.75","2,466.25",1.07M,0.22%
7/26/2017,2473.25,"2,475.25","2,479.75","2,471.50",972.44K,-0.03%
7/27/2017,2472.00,"2,474.50","2,480.50","2,457.00",1.65M,-0.05%
7/28/2017,2470.25,"2,472.00","2,472.00","2,461.50",1.16M,-0.07%
7/31/2017,2468.00,"2,470.50","2,475.00","2,465.25",1.23M,-0.09%
8/1/2017,2472.25,"2,468.00","2,477.25","2,466.25",1.04M,0.17%
8/2/2017,2473.50,"2,474.00","2,476.00","2,463.25",1.30M,0.05%
8/3/2017,2471.75,"2,473.25","2,474.50","2,466.00",1.09M,-0.07%
8/4/2017,2472.00,"2,470.75","2,477.75","2,467.75",1.07M,0.01%
8/7/2017,2477.50,"2,472.25","2,478.25","2,472.00",599.70K,0.22%
8/8/2017,2472.75,"2,477.50","2,488.50","2,467.50",1.37M,-0.19%
8/9/2017,2473.00,"2,470.00","2,474.50","2,459.00",1.56M,0.01%
8/10/2017,2437.50,"2,474.00","2,474.25","2,432.75",2.32M,-1.44%
8/11/2017,2440.00,"2,434.50","2,446.50","2,430.25",1.67M,0.10%
8/14/2017,2463.50,"2,441.50","2,466.50","2,441.50",1.47M,0.96%
8/15/2017,2463.75,"2,464.50","2,473.25","2,460.00",1.06M,0.01%
8/16/2017,2467.50,"2,464.50","2,474.00","2,461.50",1.14M,0.15%
8/17/2017,2429.50,"2,466.75","2,468.50","2,423.75",2.24M,-1.54%
8/18/2017,2426.75,"2,426.75","2,439.50","2,419.50",2.20M,-0.11%
8/21/2017,2428.00,"2,428.75","2,431.50","2,415.75",1.34M,0.05%
8/22/2017,2452.75,"2,428.00","2,454.25","2,427.50",1.37M,1.02%
8/23/2017,2441.50,"2,453.00","2,454.75","2,438.75",1.24M,-0.46%
8/24/2017,2440.75,"2,440.25","2,449.00","2,434.50",1.41M,-0.03%
8/25/2017,2442.50,"2,442.50","2,453.50","2,437.50",1.21M,0.07%
8/28/2017,2443.75,"2,442.00","2,449.25","2,436.25",953.05K,0.05%
8/29/2017,2447.00,"2,434.00","2,448.50","2,421.00",1.62M,0.13%
8/30/2017,2455.75,"2,446.50","2,459.75","2,442.75",1.30M,0.36%
8/31/2017,2470.00,"2,455.25","2,474.25","2,454.75",1.75M,0.58%
9/1/2017,2474.25,"2,470.25","2,479.75","2,470.00",1.06M,0.17%
9/3/2017,2464.75,"2,461.50","2,466.50","2,461.12",-,-0.38%
9/4/2017,2469.62,"2,464.75","2,470.75","2,462.00",-,0.20%
9/5/2017,2459.75,"2,461.25","2,471.25","2,445.50",2.12M,-0.40%
9/6/2017,2465.50,"2,460.25","2,469.00","2,456.50",1.57M,0.23%
9/7/2017,2466.50,"2,464.00","2,468.75","2,457.50",1.53M,0.04%
9/8/2017,2462.50,"2,466.50","2,467.50","2,456.75",1.24M,-0.16%
9/11/2017,2487.50,"2,468.00","2,489.00","2,468.00",1.33M,1.02%
9/12/2017,2496.00,"2,488.25","2,497.00","2,486.75",1.04M,0.34%
9/13/2017,2496.50,"2,497.00","2,497.50","2,490.75",611.37K,0.02%
9/14/2017,2496.50,"2,496.25","2,498.25","2,489.50",419.70K,0.00%
9/15/2017,2496.83,"2,496.00","2,496.50","2,489.50",54.76K,0.01%
9/18/2017,2502.75,"2,499.00","2,506.00","2,497.75",1.09M,0.24%
9/19/2017,2504.75,"2,502.75","2,506.00","2,501.00",961.11K,0.08%
9/20/2017,2505.25,"2,503.75","2,507.25","2,494.00",1.23M,0.02%
9/21/2017,2501.00,"2,504.50","2,506.25","2,496.50",1.12M,-0.17%
9/22/2017,2499.50,"2,500.75","2,501.00","2,492.00",1.02M,-0.06%
9/25/2017,2497.00,"2,499.00","2,504.50","2,485.00",1.54M,-0.10%
9/26/2017,2495.50,"2,498.00","2,501.25","2,492.25",1.14M,-0.06%
9/27/2017,2504.50,"2,495.00","2,509.25","2,493.00",1.58M,0.36%
9/28/2017,2507.75,"2,503.25","2,508.25","2,499.00",1.11M,0.13%
9/29/2017,2516.00,"2,507.75","2,517.75","2,504.75",1.37M,0.33%
10/2/2017,2526.25,"2,518.00","2,528.00","2,517.00",1.14M,0.41%
10/3/2017,2532.75,"2,527.25","2,533.50","2,525.50",849.15K,0.26%
10/4/2017,2536.25,"2,533.00","2,538.00","2,529.00",956.59K,0.14%
10/5/2017,2550.00,"2,535.25","2,550.75","2,534.50",1.10M,0.54%
10/6/2017,2545.00,"2,548.75","2,549.75","2,541.50",1.17M,-0.20%
10/9/2017,2543.75,"2,543.25","2,550.50","2,539.25",735.49K,-0.05%
10/10/2017,2548.50,"2,543.25","2,553.25","2,542.75",1.15M,0.19%
10/11/2017,2553.00,"2,548.75","2,553.50","2,544.25",818.24K,0.18%
10/12/2017,2549.50,"2,552.25","2,553.25","2,546.25",938.48K,-0.14%
10/13/2017,2552.75,"2,548.00","2,555.50","2,547.00",918.54K,0.13%
10/16/2017,2556.25,"2,552.25","2,557.75","2,550.75",795.92K,0.14%
10/17/2017,2557.00,"2,555.50","2,557.75","2,552.25",738.74K,0.03%
10/18/2017,2560.00,"2,556.50","2,562.25","2,556.25",753.38K,0.12%
10/19/2017,2560.50,"2,560.00","2,561.50","2,542.50",1.36M,0.02%
10/20/2017,2574.00,"2,561.00","2,574.50","2,559.50",1.25M,0.53%
10/23/2017,2563.50,"2,572.75","2,577.25","2,561.50",1.27M,-0.41%
10/24/2017,2567.25,"2,562.50","2,570.25","2,562.25",1.05M,0.15%
10/25/2017,2558.50,"2,564.75","2,566.25","2,541.50",2.10M,-0.34%
10/26/2017,2561.50,"2,559.50","2,565.00","2,555.50",1.39M,0.12%
10/27/2017,2578.50,"2,561.50","2,580.75","2,557.50",1.56M,0.66%
10/30/2017,2568.25,"2,575.50","2,578.25","2,565.50",1.24M,-0.40%
10/31/2017,2572.75,"2,568.00","2,575.50","2,566.75",1.05M,0.18%
11/1/2017,2574.75,"2,572.75","2,585.50","2,571.00",1.29M,0.08%
11/2/2017,2576.75,"2,571.50","2,578.50","2,562.25",1.30M,0.08%
11/3/2017,2582.75,"2,577.50","2,585.50","2,573.50",992.68K,0.23%
11/6/2017,2588.75,"2,580.00","2,590.00","2,575.50",848.12K,0.23%
11/7/2017,2586.75,"2,587.75","2,593.50","2,580.75",1.16M,-0.08%
11/8/2017,2591.00,"2,584.00","2,592.50","2,579.75",1.06M,0.16%
11/9/2017,2584.00,"2,591.25","2,594.50","2,563.25",2.22M,-0.27%
11/10/2017,2579.50,"2,582.00","2,585.75","2,571.50",1.19M,-0.17%
11/13/2017,2582.00,"2,580.25","2,585.50","2,570.25",1.05M,0.10%
11/14/2017,2578.00,"2,580.25","2,582.25","2,564.25",1.58M,-0.15%
11/15/2017,2565.00,"2,576.75","2,577.00","2,555.50",1.92M,-0.50%
11/16/2017,2585.00,"2,564.25","2,589.50","2,562.25",1.53M,0.78%
